Facility ID,State,Hospitalization type,Payment comparison,Denominator,Payment,Value of care
340050,NC,heart failure,Less,519,14709,Average Mortality
100075,FL,hip/knee replacement,Greater,271,22424,Average Complications
100049,FL,pneumonia,No Different,200,18425,Average Mortality
340075,NC,hip/knee replacement,Less,126,18151,Average Complications
350019,ND,hip/knee replacement,No Different,417,20795,Average Complications
140294,IL,pneumonia,No Different,104,16988,Average Mortality
40072,AR,heart failure,Less,96,15735,Average Mortality
50179,CA,heart failure,No Different,415,17222,Average Mortality
130013,ID,hip/knee replacement,Less,172,17504,Average Complications
260085,MO,pneumonia,Greater,680,24380,Average Mortality
140150,IL,heart attack,No Different,40,26252,Average Mortality
30016,AZ,hip/knee replacement,No Different,188,20586,Average Complications
130065,ID,hip/knee replacement,Greater,700,21778,Average Complications
340014,NC,heart failure,Less,847,16284,Average Mortality
171311,KS,hip/knee replacement,No Different,54,22515,Average Complications
260108,MO,pneumonia,Less,1007,16090,Better Mortality
60030,CO,heart attack,No Different,72,23524,Average Mortality
50242,CA,heart failure,No Different,616,17531,Average Mortality
70027,CT,pneumonia,Greater,510,19765,Average Mortality
190098,LA,heart failure,No Different,159,16597,Average Mortality
371317,OK,pneumonia,No Different,58,20613,Average Mortality
371327,OK,pneumonia,Greater,26,22849,Average Mortality
110189,GA,pneumonia,No Different,110,18766,Average Mortality
330234,NY,heart attack,Greater,301,32276,Average Mortality
111308,GA,heart failure,Less,27,14517,Average Mortality
181304,KY,pneumonia,No Different,44,20021,Average Mortality
40114,AR,heart attack,Greater,429,28158,Average Mortality
161353,IA,heart failure,No Different,72,18417,Average Mortality
250050,MS,heart failure,No Different,59,16882,Average Mortality
140135,IL,heart failure,Less,527,16498,Average Mortality
161325,IA,pneumonia,No Different,47,20639,Average Mortality
50133,CA,heart failure,No Different,717,18287,Average Mortality
220098,MA,pneumonia,No Different,158,16928,Average Mortality
50063,CA,heart attack,No Different,177,25590,Average Mortality
110069,GA,hip/knee replacement,Greater,229,23786,Average Complications
270057,MT,heart attack,No Different,116,25330,Average Mortality
100106,FL,heart failure,No Different,50,16433,Average Mortality
190086,LA,hip/knee replacement,Greater,28,26464,Average Complications
250096,MS,pneumonia,No Different,73,19955,Average Mortality
200020,ME,hip/knee replacement,Less,153,18558,Average Complications
100200,FL,hip/knee replacement,Greater,98,24764,Average Complications
280032,NE,hip/knee replacement,No Different,321,20461,Average Complications
90003,DC,heart failure,Greater,125,19974,Average Mortality
140062,IL,pneumonia,No Different,1788,18478,Average Mortality
50022,CA,pneumonia,Greater,412,20091,Average Mortality
340003,NC,pneumonia,Less,352,16525,Average Mortality
341318,NC,hip/knee replacement,No Different,80,20487,Average Complications
240076,MN,hip/knee replacement,No Different,52,20012,Average Complications
190190,LA,heart failure,Less,62,15121,Average Mortality
330019,NY,heart failure,No Different,662,17896,Better Mortality
100211,FL,pneumonia,No Different,68,18850,Average Mortality
150011,IN,pneumonia,Less,297,16658,Average Mortality
141330,IL,hip/knee replacement,Greater,48,23998,Average Complications
100106,FL,hip/knee replacement,Less,55,19126,Average Complications
30036,AZ,heart attack,No Different,324,27462,Average Mortality
170146,KS,hip/knee replacement,Greater,159,23217,Average Complications
171368,KS,pneumonia,Greater,55,21410,Average Mortality
310008,NJ,heart attack,No Different,276,27141,Average Mortality
340041,NC,heart attack,No Different,43,23706,Average Mortality
360239,OH,heart attack,No Different,28,26818,Average Mortality
220017,MA,pneumonia,Greater,198,21488,Average Mortality
260191,MO,heart attack,No Different,74,24876,Average Mortality
50149,CA,heart failure,No Different,99,18371,Average Mortality
140276,IL,heart attack,No Different,154,25588,Average Mortality
190004,LA,hip/knee replacement,No Different,273,20650,Average Complications
310052,NJ,pneumonia,Greater,1038,20283,Average Mortality
210004,MD,hip/knee replacement,Greater,320,22502,Average Complications
161322,IA,pneumonia,No Different,33,19708,Average Mortality
50625,CA,heart attack,Greater,687,31673,Better Mortality
341326,NC,hip/knee replacement,No Different,102,20356,Average Complications
50603,CA,pneumonia,Greater,386,19788,Average Mortality
350070,ND,hip/knee replacement,Less,399,18096,Average Complications
130028,ID,heart attack,No Different,134,24495,Average Mortality
50353,CA,hip/knee replacement,Less,263,19438,Average Complications
110150,GA,pneumonia,No Different,154,19359,Average Mortality
361312,OH,pneumonia,No Different,78,19769,Average Mortality
160104,IA,pneumonia,No Different,176,18795,Average Mortality
100045,FL,heart attack,No Different,138,25147,Average Mortality
360036,OH,heart failure,No Different,242,18618,Average Mortality
230020,MI,heart failure,Greater,892,19096,Better Mortality
381313,OR,pneumonia,No Different,63,18253,Average Mortality
240030,MN,hip/knee replacement,Less,254,19690,Average Complications
100124,FL,hip/knee replacement,No Different,41,22399,Average Complications
210029,MD,hip/knee replacement,Less,470,19418,Average Complications
361328,OH,hip/knee replacement,Greater,39,24571,Average Complications
110104,GA,pneumonia,No Different,166,17648,Average Mortality
280065,NE,heart attack,No Different,169,24421,Average Mortality
150018,IN,heart failure,No Different,379,16737,Worse Mortality
370220,OK,hip/knee replacement,No Different,70,21990,Average Complications
190046,LA,pneumonia,No Different,241,18152,Average Mortality
50122,CA,heart attack,No Different,53,27673,Average Mortality
330157,NY,heart attack,No Different,45,25981,Average Mortality
260214,MO,hip/knee replacement,No Different,200,21241,Average Complications
10038,AL,heart failure,No Different,97,17429,Average Mortality
200034,ME,heart failure,No Different,72,17638,Average Mortality
260210,MO,pneumonia,No Different,58,18196,Average Mortality
100252,FL,hip/knee replacement,No Different,42,22240,Average Complications
160117,IA,heart failure,No Different,120,17996,Average Mortality
210062,MD,heart failure,No Different,560,16916,Average Mortality
30083,AZ,pneumonia,No Different,159,19984,Average Mortality
160057,IA,hip/knee replacement,No Different,294,21357,Worse Complications
40004,AR,heart failure,Greater,581,19558,Worse Mortality
230180,MI,hip/knee replacement,No Different,35,18972,Average Complications
210029,MD,heart failure,Less,710,16694,Better Mortality
60125,CO,heart failure,No Different,67,16613,Average Mortality
140202,IL,heart attack,No Different,368,24182,Average Mortality
180001,KY,heart failure,No Different,248,17783,Average Mortality
100134,FL,pneumonia,Less,55,15162,Average Mortality
190102,LA,hip/knee replacement,No Different,282,21169,Average Complications
330304,NY,heart failure,Greater,584,20609,Average Mortality
180056,KY,heart attack,No Different,30,23510,Average Mortality
220070,MA,pneumonia,No Different,732,18264,Average Mortality
100080,FL,pneumonia,Greater,893,19163,Average Mortality
330180,NY,hip/knee replacement,No Different,57,22480,Average Complications
140177,IL,heart failure,No Different,50,16601,Average Mortality
360163,OH,heart attack,No Different,360,27120,Average Mortality
290045,NV,pneumonia,Greater,516,21168,Average Mortality
120005,HI,hip/knee replacement,Less,79,18822,Average Complications
340047,NC,heart failure,Less,671,16451,Average Mortality
50230,CA,heart failure,No Different,92,19275,Better Mortality
370094,OK,pneumonia,No Different,262,17586,Average Mortality
140008,IL,heart failure,Greater,340,19305,Average Mortality
310025,NJ,heart failure,No Different,239,18971,Average Mortality
110034,GA,pneumonia,Greater,328,21967,Average Mortality
180019,KY,pneumonia,No Different,220,17883,Average Mortality
30137,AZ,heart failure,No Different,90,16703,Average Mortality
180027,KY,heart failure,No Different,108,16126,Average Mortality
261311,MO,pneumonia,Less,204,16907,Better Mortality
191305,LA,pneumonia,No Different,34,17003,Average Mortality
290008,NV,pneumonia,Less,115,16426,Average Mortality
260017,MO,pneumonia,Less,377,16731,Worse Mortality
370149,OK,pneumonia,Greater,476,19723,Worse Mortality
160029,IA,heart attack,No Different,190,23520,Average Mortality
281343,NE,pneumonia,Less,31,15442,Average Mortality
230005,MI,pneumonia,No Different,318,17974,Average Mortality
40134,AR,heart failure,No Different,575,17651,Average Mortality
31301,AZ,pneumonia,Less,42,15013,Average Mortality
230108,MI,heart failure,No Different,38,17219,Average Mortality
161303,IA,hip/knee replacement,Less,43,18507,Average Complications
230017,MI,heart attack,No Different,343,24099,Average Mortality
310110,NJ,pneumonia,Greater,463,20064,Worse Mortality
260009,MO,hip/knee replacement,Less,250,17234,Average Complications
380017,OR,hip/knee replacement,Less,247,18118,Average Complications
360132,OH,hip/knee replacement,No Different,100,22207,Average Complications
50014,CA,hip/knee replacement,No Different,86,19703,Average Complications
30023,AZ,heart attack,No Different,198,25446,Average Mortality
230195,MI,pneumonia,Greater,1261,20567,Average Mortality
271317,MT,heart failure,No Different,61,18063,Average Mortality
360210,OH,pneumonia,Less,92,15972,Average Mortality
140007,IL,heart failure,Greater,1068,19118,Average Mortality
50197,CA,heart attack,No Different,77,25213,Average Mortality
361307,OH,heart failure,No Different,169,17609,Average Mortality
100266,FL,heart failure,No Different,191,18374,Average Mortality
100047,FL,pneumonia,No Different,254,18922,Average Mortality
310031,NJ,heart attack,Greater,208,28124,Average Mortality
60027,CO,hip/knee replacement,Less,664,18041,Average Complications
140186,IL,pneumonia,Greater,788,20159,Better Mortality
140080,IL,heart failure,No Different,209,18649,Average Mortality
50739,CA,heart attack,No Different,152,26153,Better Mortality
150057,IN,heart failure,No Different,30,16023,Average Mortality
150102,IN,heart failure,No Different,29,19238,Average Mortality
161314,IA,pneumonia,No Different,62,17460,Average Mortality
240056,MN,pneumonia,Less,146,15770,Average Mortality
141306,IL,pneumonia,No Different,58,18331,Average Mortality
300020,NH,heart attack,No Different,200,24973,Average Mortality
150059,IN,hip/knee replacement,Less,376,20181,Average Complications
210019,MD,heart attack,Less,552,21608,Average Mortality
30121,AZ,pneumonia,Greater,260,21527,Worse Mortality
260175,MO,heart failure,No Different,138,16694,Average Mortality
330065,NY,heart failure,No Different,93,15821,Average Mortality
310040,NJ,pneumonia,No Different,137,19601,Average Mortality
50192,CA,pneumonia,No Different,57,17785,Average Mortality
330350,NY,pneumonia,No Different,108,18644,Average Mortality
330078,NY,hip/knee replacement,No Different,287,20332,Average Complications
30068,AZ,pneumonia,Less,61,15406,Average Mortality
50526,CA,pneumonia,Greater,156,22730,Average Mortality
270074,MT,pneumonia,Less,40,11683,Average Mortality
260052,MO,heart failure,No Different,291,18038,Average Mortality
310119,NJ,heart attack,No Different,31,25478,Average Mortality
131327,ID,pneumonia,Less,108,16103,Average Mortality
30119,AZ,heart failure,Greater,330,19826,Average Mortality
120022,HI,hip/knee replacement,Less,334,19365,Average Complications
220066,MA,heart failure,No Different,415,17869,Average Mortality
370020,OK,pneumonia,No Different,204,18984,Average Mortality
140059,IL,heart failure,No Different,114,17685,Average Mortality
140185,IL,heart attack,No Different,238,24793,Average Mortality
230037,MI,heart failure,Less,129,15928,Average Mortality
50394,CA,heart attack,No Different,134,27838,Average Mortality
360270,OH,hip/knee replacement,No Different,41,21786,Average Complications
170142,KS,heart attack,No Different,87,24469,Average Mortality
320065,NM,pneumonia,No Different,95,17297,Average Mortality
30036,AZ,heart failure,Greater,489,20502,Average Mortality
230216,MI,hip/knee replacement,Less,455,20112,Average Complications
150035,IN,heart failure,No Different,556,18283,Average Mortality
380007,OR,heart attack,No Different,82,25470,Average Mortality
100053,FL,heart attack,No Different,86,27720,Average Mortality
180016,KY,pneumonia,No Different,80,17824,Average Mortality
361315,OH,heart failure,Less,71,14479,Average Mortality
50599,CA,heart failure,No Different,596,17545,Better Mortality
180088,KY,hip/knee replacement,Less,1773,20033,Average Complications
171382,KS,heart failure,No Different,34,18357,Average Mortality
310050,NJ,hip/knee replacement,Greater,260,24273,Average Complications
50503,CA,pneumonia,No Different,576,18047,Average Mortality
50488,CA,hip/knee replacement,No Different,170,20862,Average Complications
340183,NC,hip/knee replacement,Less,400,17894,Average Complications
140276,IL,heart failure,No Different,479,17610,Better Mortality
220119,MA,pneumonia,Less,388,16206,Better Mortality
140133,IL,heart attack,No Different,62,24537,Average Mortality
330396,NY,pneumonia,No Different,48,17414,Average Mortality
111310,GA,pneumonia,No Different,41,17424,Average Mortality
100260,FL,heart attack,No Different,174,26333,Average Mortality
50089,CA,pneumonia,Greater,62,21418,Average Mortality
160067,IA,pneumonia,Greater,225,19901,Worse Mortality
360365,OH,heart failure,No Different,35,17116,Average Mortality
180141,KY,heart failure,No Different,61,19206,Average Mortality
330196,NY,pneumonia,No Different,580,18802,Average Mortality
100128,FL,pneumonia,No Different,430,18421,Average Mortality
310001,NJ,heart attack,Greater,711,28471,Better Mortality
190007,LA,pneumonia,Greater,178,21080,Average Mortality
250036,MS,heart failure,No Different,74,19448,Average Mortality
370014,OK,pneumonia,No Different,411,18523,Average Mortality
360037,OH,pneumonia,No Different,52,17948,Average Mortality
321305,NM,heart failure,No Different,56,17915,Average Mortality
171363,KS,heart failure,No Different,45,17796,Average Mortality
340001,NC,pneumonia,No Different,1091,17990,Worse Mortality
230297,MI,pneumonia,No Different,53,16985,Average Mortality
50709,CA,pneumonia,Greater,349,20094,Average Mortality
50224,CA,pneumonia,Greater,1539,19575,Average Mortality
320059,NM,pneumonia,Less,115,15592,Average Mortality
60118,CO,hip/knee replacement,No Different,83,19704,Average Complications
340013,NC,heart failure,No Different,190,16844,Average Mortality
200008,ME,heart failure,No Different,160,16855,Average Mortality
220035,MA,pneumonia,Less,1125,17158,Better Mortality
50082,CA,hip/knee replacement,Less,217,19800,Average Complications
210011,MD,heart failure,No Different,615,17602,Average Mortality
30101,AZ,pneumonia,No Different,237,19140,Average Mortality
110018,GA,hip/knee replacement,Greater,77,27119,Average Complications
50740,CA,heart failure,Greater,129,20044,Average Mortality
110036,GA,hip/knee replacement,Less,441,18640,Average Complications
280131,NE,hip/knee replacement,Less,438,18080,Average Complications
370229,OK,heart failure,No Different,38,16791,Average Mortality
110006,GA,hip/knee replacement,Less,1265,19299,Average Complications
181328,KY,pneumonia,Less,93,15952,Average Mortality
330250,NY,pneumonia,Less,555,15609,Average Mortality
140280,IL,hip/knee replacement,Less,431,17802,Average Complications
281315,NE,hip/knee replacement,No Different,46,21596,Average Complications
140015,IL,heart attack,No Different,304,27166,Average Mortality
180013,KY,heart failure,Greater,706,19864,Worse Mortality
161344,IA,heart failure,No Different,54,17574,Average Mortality
100321,FL,hip/knee replacement,Less,277,20052,Average Complications
140029,IL,heart failure,No Different,344,18797,Average Mortality
210009,MD,heart attack,No Different,181,27087,Average Mortality
50350,CA,heart attack,No Different,78,25045,Average Mortality
360185,OH,heart attack,No Different,36,24024,Average Mortality
191304,LA,heart failure,No Different,48,18288,Average Mortality
310022,NJ,heart attack,No Different,358,26696,Average Mortality
220095,MA,hip/knee replacement,Greater,115,25746,Average Complications
140228,IL,pneumonia,Less,657,16948,Worse Mortality
50324,CA,heart attack,No Different,315,23929,Average Mortality
100035,FL,pneumonia,No Different,477,19301,Worse Mortality
60034,CO,heart attack,No Different,112,28147,Average Mortality
140119,IL,heart failure,No Different,533,17677,Better Mortality
361331,OH,heart failure,No Different,46,17505,Average Mortality
120014,HI,heart attack,No Different,29,23811,Average Mortality
41311,AR,pneumonia,No Different,111,19919,Average Mortality
231327,MI,hip/knee replacement,Less,74,17909,Average Complications
351334,ND,heart failure,No Different,45,17527,Average Mortality
260020,MO,heart failure,No Different,941,17599,Better Mortality
280013,NE,pneumonia,No Different,424,19336,Average Mortality
210048,MD,pneumonia,Less,907,16351,Average Mortality
290039,NV,hip/knee replacement,Greater,232,23547,Average Complications
51329,CA,heart failure,No Different,97,17053,Average Mortality
100183,FL,pneumonia,Greater,208,21035,Average Mortality
50058,CA,hip/knee replacement,Greater,142,22861,Average Complications
220052,MA,heart failure,No Different,294,18039,Average Mortality
260074,MO,heart failure,No Different,66,18167,Average Mortality
150150,IN,hip/knee replacement,No Different,52,20361,Average Complications
140182,IL,heart attack,No Different,89,25602,Average Mortality
50438,CA,heart attack,No Different,172,24224,Average Mortality
230097,MI,hip/knee replacement,Less,1248,17554,Better Complications
360121,OH,pneumonia,No Different,147,18522,Worse Mortality
230156,MI,pneumonia,Less,1049,17615,Better Mortality
340061,NC,heart attack,Less,251,23357,Average Mortality
380021,OR,hip/knee replacement,Less,82,19454,Average Complications
200033,ME,heart attack,Less,916,24091,Average Mortality
260193,MO,heart failure,No Different,118,18283,Average Mortality
230070,MI,heart attack,No Different,429,25645,Average Mortality
360098,OH,heart attack,No Different,331,25289,Average Mortality
10103,AL,heart attack,No Different,182,26458,Average Mortality
351323,ND,pneumonia,No Different,30,16106,Average Mortality
70021,CT,heart failure,No Different,254,18678,Average Mortality
140065,IL,pneumonia,Greater,565,19395,Average Mortality
170012,KS,heart failure,No Different,204,18751,Average Mortality
10046,AL,heart attack,No Different,80,26288,Average Mortality
50194,CA,hip/knee replacement,Less,40,18659,Average Complications
340147,NC,heart failure,Less,511,16640,Average Mortality
250167,MS,heart attack,Greater,86,29185,Average Mortality
140223,IL,heart attack,No Different,279,27272,Average Mortality
30113,AZ,pneumonia,Less,51,14041,Average Mortality
360230,OH,heart attack,Less,374,23387,Average Mortality
40055,AR,heart failure,No Different,695,18208,Average Mortality
310011,NJ,heart attack,Greater,143,28153,Average Mortality
100156,FL,pneumonia,Less,504,17306,Average Mortality
370026,OK,heart failure,No Different,272,17516,Average Mortality
191313,LA,pneumonia,No Different,69,19254,Average Mortality
310111,NJ,hip/knee replacement,Greater,277,22842,Average Complications
250102,MS,heart attack,No Different,311,23799,Average Mortality
210043,MD,heart attack,No Different,314,25798,Average Mortality
171325,KS,heart failure,No Different,25,16906,Average Mortality
331314,NY,pneumonia,No Different,53,16645,Average Mortality
110030,GA,hip/knee replacement,Less,260,20063,Average Complications
330194,NY,heart attack,No Different,735,25791,Better Mortality
100032,FL,heart attack,No Different,78,25137,Average Mortality
50132,CA,heart attack,No Different,72,27797,Average Mortality
51320,CA,heart failure,No Different,33,15586,Average Mortality
320005,NM,heart attack,Greater,272,28353,Average Mortality
50039,CA,pneumonia,Less,1308,17424,Average Mortality
180080,KY,heart attack,No Different,171,25442,Average Mortality
150090,IN,heart failure,Greater,266,19878,Average Mortality
240057,MN,hip/knee replacement,Less,504,18383,Average Complications
30122,AZ,hip/knee replacement,Less,27,18581,Average Complications
50471,CA,heart attack,No Different,128,27617,Average Mortality
150065,IN,heart failure,No Different,101,17943,Average Mortality
50108,CA,hip/knee replacement,Less,847,20058,Average Complications
330277,NY,heart attack,No Different,64,25679,Average Mortality
140251,IL,pneumonia,Greater,308,20568,Average Mortality
161330,IA,pneumonia,No Different,38,20020,Average Mortality
330005,NY,heart failure,No Different,918,17391,Average Mortality
231325,MI,pneumonia,No Different,91,17025,Average Mortality
360017,OH,pneumonia,No Different,295,19528,Better Mortality
110011,GA,heart attack,No Different,204,24833,Average Mortality
170105,KS,pneumonia,No Different,166,18461,Average Mortality
361325,OH,hip/knee replacement,No Different,253,21823,Average Complications
220175,MA,heart attack,No Different,138,26750,Average Mortality
60024,CO,pneumonia,No Different,423,17748,Average Mortality
100018,FL,heart attack,Less,821,24331,Average Mortality
210022,MD,heart failure,No Different,676,17706,Average Mortality
100287,FL,pneumonia,Greater,356,20294,Worse Mortality
110010,GA,pneumonia,No Different,484,18696,Average Mortality
220116,MA,hip/knee replacement,Greater,238,22474,Average Complications
360014,OH,pneumonia,No Different,154,17805,Average Mortality
50305,CA,heart attack,No Different,52,24163,Average Mortality
230019,MI,heart failure,No Different,1436,17508,Better Mortality
380061,OR,heart failure,No Different,413,17129,Average Mortality
210001,MD,heart attack,No Different,321,24356,Average Mortality
330276,NY,pneumonia,No Different,110,17017,Average Mortality
330090,NY,heart failure,No Different,308,17047,Average Mortality
231321,MI,pneumonia,Less,82,15560,Average Mortality
30062,AZ,hip/knee replacement,No Different,295,20416,Average Complications
50057,CA,pneumonia,Less,1248,17019,Average Mortality
281363,NE,hip/knee replacement,Greater,117,22747,Average Complications
210035,MD,hip/knee replacement,No Different,241,21491,Average Complications
50235,CA,pneumonia,No Different,819,19035,Better Mortality
220084,MA,pneumonia,No Different,334,19273,Average Mortality
160153,IA,pneumonia,No Different,453,18543,Average Mortality
50103,CA,heart failure,Greater,154,19696,Average Mortality
60103,CO,hip/knee replacement,Less,183,19158,Average Complications
180132,KY,hip/knee replacement,Greater,102,23164,Average Complications
360051,OH,heart failure,No Different,898,17614,Average Mortality
230053,MI,heart attack,No Different,270,26808,Average Mortality
60114,CO,heart attack,No Different,88,25804,Average Mortality
50124,CA,heart failure,Greater,162,19935,Average Mortality
100093,FL,pneumonia,No Different,416,17695,Average Mortality
240101,MN,pneumonia,Less,105,16371,Average Mortality
301307,NH,pneumonia,No Different,155,16924,Average Mortality
61323,CO,heart failure,No Different,41,17304,Average Mortality
360010,OH,heart failure,No Different,272,17486,Worse Mortality
100316,FL,heart failure,No Different,240,17951,Average Mortality
340109,NC,heart failure,No Different,474,17811,Average Mortality
310054,NJ,pneumonia,Greater,629,20602,Average Mortality
50225,CA,hip/knee replacement,Less,409,17754,Average Complications
150133,IN,pneumonia,No Different,169,17666,Average Mortality
31318,AZ,pneumonia,No Different,42,17303,Average Mortality
150007,IN,heart failure,Greater,212,20895,Average Mortality
230270,MI,pneumonia,No Different,282,19513,Average Mortality
161376,IA,heart failure,No Different,28,17231,Average Mortality
230301,MI,hip/knee replacement,No Different,38,19703,Average Complications
110074,GA,hip/knee replacement,Less,210,19146,Average Complications
50276,CA,pneumonia,Less,99,15970,Average Mortality
250077,MS,heart failure,Less,80,14420,Average Mortality
200039,ME,hip/knee replacement,No Different,246,21457,Average Complications
50228,CA,heart attack,No Different,80,25193,Average Mortality
330009,NY,pneumonia,No Different,116,17277,Average Mortality
50167,CA,pneumonia,No Different,76,18827,Average Mortality
370106,OK,heart failure,No Different,248,17747,Average Mortality
180116,KY,heart failure,No Different,239,17497,Average Mortality
60054,CO,hip/knee replacement,Less,196,19180,Average Complications
190025,LA,pneumonia,No Different,165,18012,Average Mortality
360026,OH,heart failure,No Different,120,16758,Average Mortality
80001,DE,heart failure,No Different,2220,17272,Average Mortality
310034,NJ,hip/knee replacement,Less,827,19841,Average Complications
100067,FL,hip/knee replacement,No Different,310,21525,Average Complications
360263,OH,hip/knee replacement,Less,561,19943,Average Complications
50110,CA,pneumonia,No Different,123,17007,Worse Mortality
100226,FL,pneumonia,Greater,708,21879,Average Mortality
190015,LA,hip/knee replacement,No Different,103,22137,Average Complications
221302,MA,pneumonia,No Different,124,18162,Average Mortality
100001,FL,heart attack,No Different,156,25818,Average Mortality
50516,CA,hip/knee replacement,Less,350,19648,Average Complications
360003,OH,pneumonia,Greater,242,20127,Average Mortality
380075,OR,hip/knee replacement,Less,522,17981,Average Complications
141315,IL,pneumonia,Greater,80,21291,Average Mortality
201307,ME,heart attack,No Different,26,26851,Average Mortality
160040,IA,hip/knee replacement,Less,239,19831,Average Complications
150002,IN,pneumonia,No Different,463,19141,Average Mortality
50045,CA,hip/knee replacement,Less,137,18394,Average Complications
360075,OH,heart attack,No Different,33,26974,Average Mortality
260064,MO,pneumonia,No Different,172,17163,Worse Mortality
30130,AZ,pneumonia,No Different,143,18590,Average Mortality
180104,KY,heart attack,No Different,331,24353,Average Mortality
110043,GA,hip/knee replacement,Less,1268,17977,Average Complications
150046,IN,pneumonia,No Different,205,18541,Average Mortality
360068,OH,pneumonia,Greater,494,20388,Average Mortality
310015,NJ,hip/knee replacement,Less,2938,19214,Better Complications
330153,NY,heart attack,Less,301,22095,Average Mortality
110064,GA,pneumonia,No Different,328,19545,Average Mortality
231313,MI,pneumonia,No Different,28,20671,Average Mortality
230030,MI,heart attack,No Different,25,26304,Average Mortality
50367,CA,heart attack,Greater,236,29368,Average Mortality
50636,CA,pneumonia,No Different,379,19174,Average Mortality
171346,KS,heart failure,No Different,28,19117,Average Mortality
50289,CA,heart attack,No Different,135,27220,Average Mortality
190164,LA,heart failure,Greater,188,19484,Average Mortality
300012,NH,hip/knee replacement,Less,699,20118,Average Complications
170104,KS,heart failure,No Different,596,17909,Average Mortality
80003,DE,hip/knee replacement,No Different,51,21369,Average Complications
310096,NJ,heart attack,Greater,106,29209,Average Mortality
161361,IA,heart failure,No Different,71,17476,Average Mortality
151310,IN,pneumonia,No Different,83,18761,Average Mortality
330205,NY,pneumonia,No Different,252,18884,Average Mortality
230236,MI,pneumonia,No Different,154,17841,Average Mortality
140043,IL,pneumonia,No Different,349,17657,Average Mortality
260137,MO,heart failure,No Different,493,17574,Worse Mortality
50597,CA,heart attack,No Different,42,25546,Average Mortality
230089,MI,heart failure,No Different,519,18367,Better Mortality
250102,MS,heart failure,No Different,920,17708,Average Mortality
340129,NC,heart attack,No Different,78,25359,Average Mortality
340155,NC,hip/knee replacement,Less,778,18039,Average Complications
130002,ID,heart attack,Greater,200,28003,Average Mortality
60031,CO,heart failure,No Different,664,17154,Average Mortality
190060,LA,heart failure,No Different,540,17331,Average Mortality
240207,MN,pneumonia,No Different,281,17496,Average Mortality
280130,NE,pneumonia,No Different,236,19161,Average Mortality
50002,CA,pneumonia,Greater,361,20038,Worse Mortality
170187,KS,hip/knee replacement,Less,914,20274,Average Complications
30012,AZ,heart failure,No Different,362,16780,Average Mortality
360082,OH,pneumonia,No Different,176,18871,Average Mortality
260027,MO,heart attack,No Different,148,26687,Average Mortality
10089,AL,heart failure,No Different,159,16205,Average Mortality
40147,AR,hip/knee replacement,Less,2351,19925,Average Complications
60076,CO,heart failure,No Different,68,17354,Average Mortality
110087,GA,hip/knee replacement,Less,421,19259,Average Complications
260183,MO,pneumonia,No Different,564,18130,Worse Mortality
100244,FL,pneumonia,No Different,889,18064,Average Mortality
140239,IL,heart failure,No Different,389,17199,Average Mortality
100140,FL,pneumonia,Less,260,16176,Average Mortality
280128,NE,heart attack,Greater,239,30354,Average Mortality
141305,IL,pneumonia,No Different,82,17903,Average Mortality
100316,FL,heart attack,No Different,62,27268,Average Mortality
60071,CO,heart failure,Less,49,15332,Average Mortality
380060,OR,pneumonia,Less,189,16848,Average Mortality
320003,NM,heart failure,Less,72,15356,Average Mortality
170198,KS,hip/knee replacement,Less,272,17711,Average Complications
290007,NV,hip/knee replacement,Greater,52,23884,Average Complications
220008,MA,heart failure,No Different,404,18046,Average Mortality
290054,NV,pneumonia,Greater,329,20762,Average Mortality
141337,IL,pneumonia,Less,122,16267,Average Mortality
381322,OR,pneumonia,Less,84,15680,Average Mortality
50496,CA,hip/knee replacement,Less,750,18949,Better Complications
10007,AL,heart failure,No Different,77,15857,Average Mortality
110165,GA,heart failure,No Different,163,16925,Average Mortality
161309,IA,pneumonia,No Different,60,18663,Average Mortality
140174,IL,heart failure,No Different,222,18558,Average Mortality
220029,MA,heart failure,Greater,269,19020,Average Mortality
210017,MD,heart failure,No Different,129,17372,Average Mortality
330043,NY,heart attack,No Different,196,26493,Average Mortality
260040,MO,heart failure,Less,790,16433,Worse Mortality
10061,AL,heart failure,No Different,81,16411,Average Mortality
190034,LA,hip/knee replacement,No Different,39,22004,Average Complications
160083,IA,hip/knee replacement,Less,1058,18477,Average Complications
191322,LA,heart failure,Greater,28,20512,Average Mortality
280065,NE,pneumonia,No Different,385,17900,Average Mortality
210057,MD,pneumonia,Greater,806,19192,Average Mortality
370215,OK,heart failure,No Different,1002,17019,Average Mortality
360360,OH,pneumonia,No Different,309,18485,Average Mortality
310076,NJ,hip/knee replacement,Greater,274,24589,Average Complications
271325,MT,pneumonia,Less,106,15900,Average Mortality
330140,NY,hip/knee replacement,Less,1143,17981,Average Complications
260179,MO,heart attack,No Different,350,26618,Average Mortality
41321,AR,pneumonia,No Different,113,17695,Average Mortality
50537,CA,heart attack,No Different,28,25387,Average Mortality
70033,CT,heart failure,No Different,977,17515,Average Mortality
380002,OR,heart attack,No Different,90,23063,Average Mortality
230118,MI,hip/knee replacement,No Different,108,21247,Average Complications
131312,ID,hip/knee replacement,Less,128,19162,Average Complications
190081,LA,pneumonia,No Different,137,17353,Better Mortality
210024,MD,hip/knee replacement,Less,1316,19034,Average Complications
250072,MS,heart attack,No Different,138,27977,Average Mortality
220108,MA,heart failure,No Different,439,17148,Better Mortality
240052,MN,hip/knee replacement,Less,106,19563,Average Complications
